date,daily_pnl,trades,volume_usd,avg_fee,win_day,cum_pnl,peak,drawdown,classification
2023-01-05,0.0,3,477.0,0.0,False,0.0,0.0,0.0,fear
2023-05-12,0.0,9,50005.83,1.3890505555555555,False,0.0,0.0,0.0,neutral
2024-01-01,-129.53146,18,264239.52999999997,3.6699926111111107,False,-129.53146,0.0,-129.53146,greed
2024-01-02,0.0,6,2008.18,0.08367399999999998,False,-129.53146,0.0,-129.53146,greed
2024-01-03,8244.241409,137,472974.7,-0.00399163503649635,True,8114.709949,8114.709949,0.0,greed
2024-01-04,2507.963406,77,339470.47,1.087680025974026,True,10622.673354999999,10622.673354999999,0.0,greed
2024-01-05,0.0,14,87025.45,2.175636285714286,False,10622.673354999999,10622.673354999999,0.0,greed
2024-01-06,91.510419,25,12834.62,0.17968424,True,10714.183774,10714.183774,0.0,greed
2024-01-07,5065.839308,64,362670.14999999997,6.645672265625,True,15780.023082,15780.023082,0.0,greed
2024-01-08,167.080017,57,227774.53,1.8964041403508771,True,15947.103099,15947.103099,0.0,greed
2024-01-09,137.433093,12,12359.68,0.36048841666666664,True,16084.536192,16084.536192,0.0,extreme greed
2024-01-10,0.0,4,139954.32,12.2460025,False,16084.536192,16084.536192,0.0,greed
2024-01-11,1040.475736,23,260981.03,3.941516304347826,True,17125.011928,17125.011928,0.0,extreme greed
2024-01-12,40886.364494,416,814711.82,0.5898647869711539,True,58011.376422,58011.376422,0.0,greed
2024-02-01,783.979116,17,121348.74,1.7845397647058823,True,58795.355538,58795.355538,0.0,greed
2024-02-02,456.423473,42,474278.43,2.1802294285714288,True,59251.779011000006,59251.779011000006,0.0,greed
2024-02-03,230.90060000000005,31,63197.56,-0.0151331935483871,True,59482.67961100001,59482.67961100001,0.0,greed
2024-02-04,883.760812,41,239664.50999999998,1.9544530243902436,True,60366.44042300001,60366.44042300001,0.0,greed
2024-02-06,192.906947,93,29464.51,0.08379475268817205,True,60559.34737000001,60559.34737000001,0.0,greed
2024-02-07,2421.253116,18,33347.47,0.6365961111111111,True,62980.60048600001,62980.60048600001,0.0,greed
2024-02-08,782.3681909999999,63,396320.37,2.3098486031746033,True,63762.96867700001,63762.96867700001,0.0,greed
2024-02-09,0.0,2,30000.42,5.250074,False,63762.96867700001,63762.96867700001,0.0,greed
2024-02-10,0.0,4,99954.34,8.746004249999999,False,63762.96867700001,63762.96867700001,0.0,greed
2024-02-11,0.0,2,40000.0,6.9999985,False,63762.96867700001,63762.96867700001,0.0,greed
2024-02-12,18489.604313,270,585243.56,0.5477326429259259,True,82252.57299000002,82252.57299000002,0.0,greed
2024-03-01,866.015507,67,394499.36,1.4720121044776118,True,83118.58849700002,83118.58849700002,0.0,extreme greed
2024-03-02,223.30918699999998,56,603820.0,1.9582562321428572,True,83341.89768400003,83341.89768400003,0.0,extreme greed
2024-03-03,8361.086245,79,390745.68,-0.031735481012658225,True,91702.98392900002,91702.98392900002,0.0,extreme greed
2024-03-04,126.7884,4,16887.57,0.41530025,True,91829.77232900003,91829.77232900003,0.0,extreme greed
2024-03-05,5306.017045,36,282682.64999999997,2.7475189166666665,True,97135.78937400003,97135.78937400003,0.0,extreme greed
2024-03-06,562.808208,70,21466.86,0.07682979999999999,True,97698.59758200003,97698.59758200003,0.0,extreme greed
2024-03-07,1118.387284,18,179600.66,3.479371222222222,True,98816.98486600003,98816.98486600003,0.0,extreme greed
2024-03-08,464.1897,37,290532.86,2.936570432432432,True,99281.17456600003,99281.17456600003,0.0,extreme greed
2024-03-10,100.375782,9,132935.69,5.169721222222223,True,99381.55034800003,99381.55034800003,0.0,extreme greed
2024-03-11,0.0,6,129055.66,6.734025333333334,False,99381.55034800003,99381.55034800003,0.0,extreme greed
2024-03-12,23576.539285,374,1084666.53,0.8838852719518716,True,122958.08963300003,122958.08963300003,0.0,extreme greed
2024-04-01,-67.60364,5,99792.54000000001,4.989626400000001,False,122890.48599300002,122958.08963300003,-67.60364000000118,extreme greed
2024-04-02,47.62389499999999,35,203187.53,1.4436251428571427,True,122938.10988800002,122958.08963300003,-19.979745000004186,extreme greed
2024-04-03,27799.775742,300,1577996.87,-0.0018648299999999998,True,150737.88563000003,150737.88563000003,0.0,greed
2024-04-04,0.0,32,95987.73,1.0498651562499999,False,150737.88563000003,150737.88563000003,0.0,greed
2024-04-05,0.0,9,58998.75,2.2943954444444445,False,150737.88563000003,150737.88563000003,0.0,extreme greed
2024-04-06,52.211438,53,24243.41,0.1402443962264151,True,150790.09706800003,150790.09706800003,0.0,extreme greed
2024-04-07,0.0,25,430568.01,4.5209858,False,150790.09706800003,150790.09706800003,0.0,extreme greed
2024-04-08,-122672.000883,127,1207744.07,3.5110412204724413,False,28118.09618500003,150790.09706800003,-122672.000883,extreme greed
2024-04-09,1065.785132,34,131480.97,1.8697125588235293,True,29183.881317000032,150790.09706800003,-121606.215751,extreme greed
2024-04-10,0.0,1,0.34,0.0,False,29183.881317000032,150790.09706800003,-121606.215751,extreme greed
2024-04-11,2799.410474,36,451811.97,4.392616111111112,True,31983.291791000032,150790.09706800003,-118806.805277,extreme greed
2024-04-12,292891.815021,319,769287.65,0.5410859487460815,True,324875.10681200004,324875.10681200004,0.0,extreme greed
2024-05-01,164.141565,66,1703942.66,6.4543278636363635,True,325039.24837700004,325039.24837700004,0.0,neutral
